Ticker_symbol,current_price,open_price,high_price,low_price,annual_sales,market_cap,data_delay,volume_average,fifty_two_week_high,fifty_two_week_low,percent_change,actual_change,previous_close,Name,currency,__PowerAppsId__
ACI,17.54,17.49,17.72,17.38,2177817,9601896000,0,8588649,23.2,16.7,0.29,0.05,17.48,Albertsons Companies Inc,USD,c93d950e68be4842815bc23a51301494
BJ,89.04,89.2,89.54,88.05,598184,11660175900,0,2115934,121.1,83.92,-2.08,-1.89,90.93,BJ's Wholesale Club Holdings Inc,USD,c1bff1788b3a418f812c7bb92bf4a50e
CVS,79.18,78.71,79.86,78.6,1866732,100031245473,0,7728480,85.15,43.56,0.88,0.69,78.55,CVS Health Corp,USD,0c757a7e7775430dbe51dfe773386222
WMT,101.31,101.34,101.58,100.03,6281443,805018775202,0,14806357,109.58,79.81,-0.1,-0.17,101.47,Walmart Inc,USD,a946ba58ac8d44c4a9040884b49f42f1
TGT,89.01,91.79,92.71,88.48,3756506,40455151318,0,7601548,158.42,85.36,-3.19,-2.93,91.94,Target Corp,USD,e1214822536540fdae4fcdb595562dac
WBA,222,#N/A,#N/A,#N/A,0,10369413195,20,442,269,161,0,0,222,Walgreen Boots Alliance Ord Shs,MXN,04c8b1bcef0d4566a2f02d6891779050
CASY,518.41,522.63,525,513.1,91074,19411778944,0,283582,572.16,372.09,-1.38,-6.73,525.64,Caseys General Stores Inc,USD,8e5d3c4c93c342058033989ed675817b
COST,919.15,924.36,924.93,908.3,1540196,404564902853,0,2568855,1078.23,871.71,-1.62,-15.15,935.03,Costco Wholesale Corp,USD,5d6fa9c166c24a68b07848978c81dbb4
KR,63.44,63.38,64.14,62.59,2313718,42027043888,0,6232506,74.9,57.08,0.4,0.28,63.15,Kroger Co,USD,3d9d97aefdbe486c8f9ced1ea6e58bed
AMX,22.9,23,23.05,22.79,568083,69266049000,0,1616253,23.61,13.1,-0.3,-0.07,22.96,America Movil SAB de CV,USD,c48151490a0e44318246db8c95db0ad1
MSFT,496.75,505.66,505.7,495.81,12527481,3690956158344,0,20138325,555.45,344.79,-2.05,-10.09,507.16,Microsoft Corp,USD,8a929aa1dd624c338e34c1a061fbfbf9